"rin_community","cisco_id","locality","region_a","zip_code","Age group","Ethnicity","Gender identity","Employment status","Highest education level","Which certificate(s) are you most interested in?","Why do you want to complete this certificate training? Select all that apply.","Which part of the training do you think will be the most valuable? Select all that apply.","How will the skills you learn benefit you? Select all that apply.","Are you able to commit 10-15 hours per week for this training?","Do you feel you will be able to complete your certification program by Sept. 30, 2024?","This training is online. Please rate your personal computer skills.","Do you have access to a laptop, tablet or personal computer?","If no, will you need assistance finding computer access locations?","After completion of the course, which wrap-around supports will you need?","cisco_certifcation_path.x","cisco_course_current.x","Checkpoint Exam: Build a Small Network","Checkpoint Exam: Network Access","Checkpoint Exam: The Internet Protocol","Checkpoint Exam: Communication Between Networks","Checkpoint Exam: Protocols for Specific Tasks","Checkpoint Exam: Characteristics of Network Design","Checkpoint Exam: Network Addressing","Checkpoint Exam: ARP, DNS, DHCP and the Transport Layer","Checkpoint Exam: Configure Cisco Devices","Checkpoint Exam: Physical, Data Link, and Network Layers","Checkpoint Exam: IP Addressing","Checkpoint Exam: Cisco Devices and Troubleshooting Network Issues","Module 37: Assessment Quiz","Module 38: Assessment Quiz","Module 39: Assessment Quiz","Networking Essentials: Course Final Exam","Networking Essentials: Assessment( Average )","Networking Essentials: Class Grade","cisco_certifcation_path.y","cisco_course_current.y","Checkpoint Exam: Network Security","Checkpoint Exam: OS and Endpoint Security","Checkpoint Exam: Principles, Practices, and Processes of Network Defense","Checkpoint Exam: Firewalls, Cryptography, and Cloud Security.","Checkpoint Exam: Evaluating Security Alerts","Checkpoint Exam: Vulnerability Assessment and Risk Management","Checkpoint Exam: Incident Response","Cybersecurity Essentials: Course Final Exam","Cybersecurity Essentials: Assessment( Average )","Cybersecurity Essentials: Class Grade","lon","lat"
"Taos","b0db038fc4b6a9a1867d01b34e43b256","Costilla","NM","87524","55+","White","Female","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job, Start my own business, Case Manager recommended","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Average (can do email, shop online, search for information, use Word)","Yes","No","Referrals to job opportunities, Job seeking skills training, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-105.631088237728,36.5774360297487
"Ada","355df5ffc30efcf4e79c87c7bea72aa1","Stonewall","OK","74871","25-34","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","Hands on- I can work at my own schedule","Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Traverse City","c4ee40c7ff6cb4fc54e651a68fed6013","Traverse City","MI","49685","55+","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Chambers County","69a08d22308f4777b4f02364ed09f3c6","Valley","AL","36854","35-44","White","Female","Employed","High School/GED","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.185529417292,32.818397191589
"Traverse City","a85b1950da1a73c0304a2d4ebee8bb33","Cadillac","MI","49601","25-34","White","Female","Unemployed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Case Manager recommended","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.41068463928,44.234707933106
"The Berkshires","f7fe3f851087b1a4370c43b55047e24e","Pittsfield","MA","01201","35-44","White","Female","Employed","Undergraduate","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-73.292210115605,42.446777543403
"Traverse City","538154ca6883fa377b8e32852107f84c","Grand Rapids","MI","49504","35-44","White","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.693648081592,42.990904853
"Wilson","7a50a7b355bd1496ed3306efddc5cfad","Wilson","NC","27893","25-34","Black or African American","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77.942153468684,35.724482657033
"Wilson","e087bb5b0df495e562bd88260cdd93fc","Elm City","NC","27822","35-44","White","Female","Employed","Graduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.960318759107,35.871239996888
"Wilson","5ed91080f09eab862c4857e820989ccc","Wilson","NC","27896","25-34","White","Female","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Average (can do email, shop online, search for information, use Word)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.953910475367,35.750648275782
"Ada","6a8a51bfc9757ae33c712408cf007361","Ada","OK","74820","35-44","White","Male","Employed","Undergraduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson","c1122d22a9c808e487cb4731bff8ad79","Wilson","NC","27893","45-54","White","Male","Employed","Undergraduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.91039770706,35.743058636972
"Traverse City","90c9484fb4f62841ec9d92abee02f8de","Rochester Hills","MI","48309","45-54","White","Male","Employed","Postgraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills","All of it","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Traverse City","066391805f89996e4d50defdcd26c000","Grayling","MI","49738","35-44","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Get a new or better job","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",96,96,NA,NA,NA,NA,NA,NA,24,24,-84.732615909487,44.652531147225
"Traverse City","41c47a8dcd27d21f7d8e090a7cc4f0e1","Rapid City","MI","49676","45-54","American Indian or Alaska Native","Female","Employed","Undergraduate","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Case Manager recommended","Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.345244152121,44.869443818376
"Wilson","8e9615bef1a860f87d0ea639cd62bce7","Lucama","NC","27851","25-34","Black or African American","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Practice interviewing","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",80,81,85,85,75,95,81,90,76,71,73,75,87,87,87,77,81.56,81.56,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-78.005519419927,35.63056760023
"Wilson","3b249eaf7b557f633b22b7bd4a9f1c40","Wilson","NC","27893","55+","White","Female","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Average (can do email, shop online, search for information, use Word)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.964896630154,35.717969153923
"Wilson","46413ba5407fe2d16696503352f9e99f","Kenly","NC","27542","25-34","White","Male","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-78.085159945341,35.681292663978
"Traverse City","e8470a89d19b321f02c973d6172ddd08","Traverse","MI","49685","25-34","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.636372700213,44.716212885828
"Nacogdoches","b66fac7f68625b540c93d2cb1e6c7ded","Denison","TX","75020","25-34","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Case Manager recommended","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,5.19,5.19,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",92,NA,NA,NA,NA,4,35,85,27,27,-96.539847596549,33.763868771067
"Wilson","6772807a5ce593cbd2e35cec631a8027","Wilson","NC","27896","25-34","White","Male","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-77.972819627753,35.756558165098
"Traverse City","32ce94cec514524cc1243fe4459defe0","","MI","49685","18-24","White","Male","Employed","High School/GED","Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it, Hands on- I can work at my own schedule","Personal Growth, Get a new or better job, Help start my own business","Yes","Yes","Average (can do email, shop online, search for information, use Word)","Yes","No","Job seeking skills training, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.808200940238,44.7409272338
"Taos","4a51e21eb1216a67def60f852b0893a4","","NM","87529","45-54","American Indian or Alaska Native","Male","Employed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wilson","f1e5087b24cf38bda415615908dc20e5","Wilson","NC","27893","25-34","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-77.91039770706,35.743058636972
"Traverse City","7ade7bcd11e9dcf225639113e2e6d261","Cedar","MI","49621","45-54","White","Female","Employed","Postgraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",90,71,90,95,80,86,86,76,90,90,73,90,100,87,93,82,86.19,86.19,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.66610641055,44.795819398944
"Ada","d49b71fd5bbaa6a3e032f557e566a464","Ada","OK","74820","25-34","White","Male","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","All of it","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-96.645695975448,34.78164018029
"The Berkshires","7b03f80a6b7e3d2f0b46f1e293094218","Pittsfield","MA","01201","35-44","Prefer not to say","Non-Binary","Employed","Undergraduate","Introduction to Cybersecurity (https://www.netacad.com/courses/cybersecurity), CCNA 7: Introduction to Networks (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business, Case Manager recommended, I don't know","All of it, Hands on- I can work at my own schedule","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Resume assistance, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-73.203491159373,42.433708100858
"Wilson","60c1b5cb3846c9ab58af92ef936ca54c","Winston Salem","NC","27107","18-24","Black or African American","Female","Student","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Job seeking skills training, Practice interviewing, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.25,6.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-80.218421245342,36.018076311336
"Traverse City","440c30649cc8b09e36ccd5fc9558576a","Manton","MI","49663","45-54","White","Female","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","No, I don't need additional services",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.39250651356,44.410794792677
"Traverse City","aeee1a804bf32b33c8afbfeb6d88c16e","Vanderbilt","MI","49795","35-44","White","Male","Unemployed","Postgraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job, Start my own business","All of it","Personal Growth, Add to my resume, Get a new or better job, Help start my own business","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"Traverse City","cf8a4cbae4138f5c38838773d9b48bba","Southfield","MI","48075","25-34","Black or African American","Female","Unemployed","High School/GED","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Personal Growth, Get a new or better job","Yes","Yes","Above Average (use Microsoft Office, including Excel & Powerpoint)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-83.248979942946,42.453550201806
"Traverse City","0a53aa556b3f19d5c15b7728be1b02f8","Cadillac","MI","49601","25-34","White","Male","Employed","Undergraduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity)","Increase my skills, Get a new or better job","All of it, Hands on- I can work at my own schedule","Get a new or better job","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Referrals to job opportunities, Resume assistance, Job seeking skills training, Practice interviewing, Information about other training programs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",NA,NA,NA,NA,NA,NA,NA,NA,0,0,-85.347797071697,44.229221833195
"Portsmouth","e68728ef418f28f74a2f82e7bd5a6bdb","Minford","OH","45654","55+","White","Male","Employed","Graduate","Cybersecurity Essentials  (https://www.netacad.com/courses/cybersecurity), Networking Essentials (https://www.netacad.com/courses/networking)","Increase my skills","Hands on- I can work at my own schedule","Personal Growth","Yes","Yes","Advanced (use Microsoft Office, including Excel & Powerpoint and set up new equipment, etc)","Yes","No","Information about other training programs","Cisco Certified Support Technician (CCST) Networking","CCNA: Introduction to Networks",95,90,100,100,95,100,76,71,76,90,80,95,100,80,80,88,88.5,88.5,"Cisco Certified Support Technician (CCST) Cybersecurity","Introduction to Cybersecurity",88,92,100,96,96,92,95,70,91.12,91.12,-82.863973605773,38.863446983638
